管理處名稱,工作站,名稱,採樣日期,水溫°C,pH值,EC(μS/cm),備註,版本日期
宜蘭管理處,蘇澳站,金豐萬圳取水口,2018/5/7,23,8.14,210,,201803
宜蘭管理處,蘇澳站,金豐萬圳幹線一支線下游,2018/5/7,23.4,8.17,245,,201803
宜蘭管理處,蘇澳站,糞箕湖圳幹線隘丁支線上游,2018/5/7,23.2,8.31,213,,201803
宜蘭管理處,蘇澳站,糞箕湖圳幹線隘丁支線下游,2018/5/7,24,7.51,317,,201803
宜蘭管理處,蘇澳站,龍德二號抽水機抽水口,2018/5/7,24.6,6.64,468,,201803
宜蘭管理處,蘇澳站,龍德四號抽水機抽水口,2018/5/7,24.4,6.85,605,,201803
宜蘭管理處,蘇澳站,大南澳圳第一幹線取水口,2018/5/7,28.4,8.22,287,,201803
宜蘭管理處,蘇澳站,大南澳圳第二幹線取水口,2018/5/7,28.5,8.26,288,,201803
宜蘭管理處,蘇澳站,大南澳圳第三幹線取水口,2018/5/7,28.2,8.38,286,,201803
宜蘭管理處,蘇澳站,隆恩圳取水口,2018/5/7,24.4,7.76,230,,201803
宜蘭管理處,蘇澳站,隆恩排水中游(隆恩排水制水門),2018/5/7,24.7,7.28,389,,201803
宜蘭管理處,蘇澳站,馬賽中排上游(馬賽中排制水門),2018/5/7,24.1,7.06,339,,201803
宜蘭管理處,蘇澳站,馬賽排水中游(馬賽大排制水門),2018/5/7,24.1,7.47,293,,201803
宜蘭管理處,蘇澳站,馬賽排水上游(新馬4-5小排),2018/5/7,24.1,7.52,251,,201803
宜蘭管理處,蘇澳站,金豐萬圳下游(金豐萬圳幹線新馬六主給),2018/5/7,23.6,8.08,222,,201803
宜蘭管理處,蘇澳站,港口排水上游(下埤排水制水門),2018/5/7,24.3,7.33,262,,201803
宜蘭管理處,頭城站,大坑罟抽水機抽水口,2018/7/13,26.4,7.31,464,,201804
宜蘭管理處,頭城站,溪仔底幹線取水口,2018/7/13,27,7.48,456,,201804
宜蘭管理處,頭城站,新興湧泉幹線引水口,2018/7/13,25.6,7.28,201,,201804
宜蘭管理處,頭城站,福德坑圳幹線取水口,2018/7/13,25.8,7.4,188,,201804
宜蘭管理處,頭城站,金面圳金面第一幹線取水口,2018/7/13,26,7.54,150,,201804
宜蘭管理處,頭城站,北門坑圳幹線取水口,2018/7/13,25.5,7.24,118,,201804
宜蘭管理處,頭城站,抵美簡圳幹線取水口,2018/7/13,27.4,7.65,267,,201804
宜蘭管理處,頭城站,猴洞坑圳幹線取水口,2018/7/13,26.1,7.49,105,,201804
宜蘭管理處,頭城站,白石腳湧泉第二幹線取水口,2018/7/13,27.7,7.24,216,,201804
宜蘭管理處,頭城站,白石腳湧泉第一幹線取水口,2018/7/13,28,7.1,328,,201804
宜蘭管理處,頭城站,玉泉圳第一幹線取水口,2018/7/13,28.7,7.31,527,,201804
宜蘭管理處,頭城站,玉泉圳第二幹線取水口,2018/7/13,27.9,7.61,304,,201804
宜蘭管理處,頭城站,湯圍湧泉幹線取水口,2018/7/13,28.9,7.54,452,,201804
宜蘭管理處,頭城站,六結圳幹線礁溪六結一主給取水口,2018/7/13,28.4,7.23,314,,201804
宜蘭管理處,頭城站,淇武蘭圳幹線取水口,2018/7/13,27.6,7.5,320,,201804
宜蘭管理處,頭城站,五股圳幹線礁溪1-17小給取水口,2018/7/13,29,7.61,439,,201804
宜蘭管理處,頭城站,湯圍湧泉幹線三支線取水口,2018/7/13,29.8,7.68,540,,201804
宜蘭管理處,頭城站,湯圍湧泉幹線四支線湯圍1-2小給取水口,2018/7/13,30,7.37,361,,201804
宜蘭管理處,頭城站,金面圳金面第二幹線二主給2小給取水口,2018/7/13,27.6,7.4,304,,201804
宜蘭管理處,頭城站,金面第四湧泉圳取水口,2018/7/13,26.1,7.18,227,,201804
宜蘭管理處,礁溪站,辛永安圳取水口,2018/7/13,28.7,7.18,212,,201804
宜蘭管理處,礁溪站,黃德記圳取水口,2018/7/13,28.7,7.77,276,,201804
宜蘭管理處,礁溪站,林源春圳取水口,2018/7/13,28.3,7.19,274,,201804
宜蘭管理處,礁溪站,茅埔圳取水口,2018/7/13,28,7.02,266,,201804
宜蘭管理處,礁溪站,大坡圳(龍潭湖)取水口,2018/7/13,28.2,7.14,134,,201804
宜蘭管理處,礁溪站,四結佃圳上游,2018/7/13,28.3,7.2,213,,201804
宜蘭管理處,礁溪站,四結佃圳下游,2018/7/13,28.8,7.28,231,,201804
宜蘭管理處,礁溪站,金長源圳上游,2018/7/13,28.6,7.42,136,,201804
宜蘭管理處,礁溪站,金長源圳下游,2018/7/13,28.5,7.45,137,,201804
宜蘭管理處,礁溪站,金慶安圳取水口,2018/7/13,28.5,7.12,222,,201804
宜蘭管理處,礁溪站,七結湧泉圳上游,2018/7/13,28.1,6.78,186,,201804
宜蘭管理處,礁溪站,柴圍佃圳取水口,2018/7/13,28.6,7.11,226,,201804
宜蘭管理處,礁溪站,民生圳取水口,2018/7/13,28.1,6.89,356,,201804
宜蘭管理處,礁溪站,三民四中排(補助水源),2018/7/13,27.9,6.97,270,,201804
宜蘭管理處,礁溪站,李寶興排水,2018/7/13,27.8,6.87,313,,201804
宜蘭管理處,礁溪站,充公支線塭底分線上游,2018/7/13,28.1,7.22,312,,201804
宜蘭管理處,礁溪站,七結抽水機取水口,2018/7/13,29,6.72,550,,201804
宜蘭管理處,礁溪站,朝陽4號抽水機取水口,2018/7/13,28.9,7.06,342,,201804
宜蘭管理處,礁溪站,玉田1號抽水機取水口,2018/7/13,28.7,7.07,386,,201804
宜蘭管理處,礁溪站,玉田2號抽水機取水口,2018/7/13,28.7,7.2,341,,201804
宜蘭管理處,礁溪站,辛永安圳上游(二結排水一結革新二中排茭白9小排),2018/7/13,28.5,7.27,243,,201804
宜蘭管理處,礁溪站,茅埔抽水機取水口,2018/7/13,28.6,7.16,398,,201804
宜蘭管理處,礁溪站,民權抽水機取水口,2018/7/13,28.1,7.01,345,,201804
宜蘭管理處,礁溪站,朝陽2號抽水機取水口,2018/7/13,28.7,7.05,342,,201804
宜蘭管理處,礁溪站,民生圳幹線下游(瑪僯12-6小排),2018/7/13,28,6.91,363,,201804
宜蘭管理處,礁溪站,充公支線塭底分線下游,2018/7/13,28.7,7.2,326,,201804
宜蘭管理處,礁溪站,李寶興排水下游(三民8-2小給),2018/7/13,28,7.04,198,,201804
宜蘭管理處,礁溪站,茅埔排水下游,2018/7/13,28.7,7.25,351,,201804
宜蘭管理處,礁溪站,李寶興圳幹線上游,2018/7/13,28.1,6.97,306,,201804
宜蘭管理處,礁溪站,李寶興圳幹線下游,2018/7/13,27.8,6.81,319,,201804
宜蘭管理處,礁溪站,三十九結抽水機取水口,2018/7/13,27.9,6.93,349,,201804
宜蘭管理處,礁溪站,茭白幹線上游,2018/7/13,28.9,7.19,219,,201804
宜蘭管理處,礁溪站,辛永安圳一支線中游,2018/7/13,28.5,7.18,244,,201804
宜蘭管理處,礁溪站,玉田支線取水門取水口,2018/7/13,28,7.01,257,,201804
宜蘭管理處,壯圍站,金同春圳上游,2018/7/13,28.2,6.78,216,,201804
宜蘭管理處,壯圍站,金同春圳下游,2018/7/13,29.7,6.79,377,,201804
宜蘭管理處,壯圍站,充館圳上游,2018/7/13,28.5,6.77,209,,201804
宜蘭管理處,壯圍站,公館支線分水門,2018/7/13,29.3,6.72,320,,201804
宜蘭管理處,壯圍站,新城圳取水口,2018/7/13,28.1,6.89,217,,201804
宜蘭管理處,壯圍站,二結湧泉圳引水口,2018/7/13,28.7,7.06,205,,201804
宜蘭管理處,壯圍站,十三股大排上游(補助水源),2018/7/13,29.1,6.89,422,,201804
宜蘭管理處,壯圍站,壯東第二大排(補助水源),2018/7/13,30.2,6.85,566,,201804
宜蘭管理處,壯圍站,壯東第三大排(補助水源),2018/7/13,30.6,6.87,488,,201804
宜蘭管理處,壯圍站,古亭排水(補助水源),2018/7/13,28.3,7.08,201,,201804
宜蘭管理處,壯圍站,梅洲第一幹線,2018/7/13,28.9,6.84,251,,201804
宜蘭管理處,壯圍站,梅洲第二幹線,2018/7/13,28.9,6.77,238,,201804
宜蘭管理處,壯圍站,梅洲第三幹線,2018/7/13,28.3,6.85,226,,201804
宜蘭管理處,壯圍站,梅洲第四幹線,2018/7/13,28.8,6.75,222,,201804
宜蘭管理處,壯圍站,充公支線,2018/7/13,29.3,6.86,307,,201804
宜蘭管理處,壯圍站,金同春圳導水路,2018/7/13,29,6.82,207,,201804
宜蘭管理處,壯圍站,壯東第一大排(輔助水源),2018/7/13,30.1,6.92,702,,201804
宜蘭管理處,壯圍站,充館圳幹線分水門,2018/7/13,29.7,6.79,270,,201804
宜蘭管理處,員山站,枕山圳上游,2018/7/18,29.4,8.52,187,,201804
宜蘭管理處,員山站,雷公埤圳取水口,2018/7/18,29.5,7.56,112,,201804
宜蘭管理處,員山站,隘界圳取水口,2018/7/18,29.4,7.96,113,,201804
宜蘭管理處,員山站,金大安圳取水口,2018/7/18,26.5,8.26,62,,201804
宜蘭管理處,員山站,鼻仔頭圳取水口,2018/7/18,29.5,8.25,111,,201804
宜蘭管理處,員山站,大三鬮圳取水口,2018/7/18,29.5,8.26,113,,201804
宜蘭管理處,員山站,內湖圳取水口,2018/7/18,29.8,7.87,340,,201804
宜蘭管理處,員山站,改良番仔圳取水口,2018/7/18,29.8,8.13,455,,201804
宜蘭管理處,員山站,深溝湧泉圳引水口,2018/7/18,29.7,8.26,205,,201804
宜蘭管理處,員山站,金覆興圳取水口,2018/7/18,30,8.35,427,,201804
宜蘭管理處,員山站,結頭份排水中游,2018/7/18,27.8,7.35,173,,201804
宜蘭管理處,員山站,茄苳林二排水下游,2018/7/18,28,7.69,151,,201804
宜蘭管理處,員山站,浮洲排水新洲子中排中游(第二制水門),2018/7/18,30,7.86,433,,201804
宜蘭管理處,員山站,浮洲排水新洲子中排中游(第一制水門),2018/7/18,30.2,8.09,416,,201804
宜蘭管理處,員山站,深溝排水中游(第三制水門),2018/7/18,29.2,8.04,208,,201804
宜蘭管理處,員山站,深溝排水上游(第一制水門),2018/7/18,29.8,8.29,206,,201804
宜蘭管理處,員山站,蓁巷排水深洲成功二中排上游,2018/7/18,29.7,7.78,525,,201804
宜蘭管理處,員山站,鼻仔頭圳幹線四支線,2018/7/18,29.5,8.29,224,,201804
宜蘭管理處,員山站,枕山圳下游(第二分水門),2018/7/18,29.5,8.49,149,,201804
宜蘭管理處,員山站,隘界圳中游(一支線),2018/7/18,29.7,8.19,113,,201804
宜蘭管理處,宜蘭站,三鬮圳幹線上游,2018/7/9,28.8,7.72,306,,201804
宜蘭管理處,宜蘭站,三鬮圳幹線下游,2018/7/9,28.4,7.58,313,,201804
宜蘭管理處,宜蘭站,溪洲圳上游,2018/7/9,28.5,7.71,365,,201804
宜蘭管理處,宜蘭站,溪洲圳中游,2018/7/9,28.9,7.7,364,,201804
宜蘭管理處,宜蘭站,美福大排(補助水源),2018/7/9,28.4,7.66,332,,201804
宜蘭管理處,宜蘭站,舊港大排(補助水源),2018/7/9,28.3,7.63,347,,201804
宜蘭管理處,宜蘭站,振興支線取水口,2018/7/9,28.9,7.62,313,,201804
宜蘭管理處,宜蘭站,金山支線上游(制水門),2018/7/9,28.5,7.7,321,,201804
宜蘭管理處,宜蘭站,員山支線四分線上游,2018/7/9,28.4,7.65,365,,201804
宜蘭管理處,宜蘭站,員山支線五分線上游,2018/7/9,28.6,7.63,325,,201804
宜蘭管理處,宜蘭站,宜壯振興支線下游,2018/7/9,28.5,7.69,311,,201804
宜蘭管理處,宜蘭站,石橋支線上游(制水門),2018/7/9,28.8,7.6,327,,201804
宜蘭管理處,宜蘭站,宜壯壯五支線A12分線上游,2018/7/9,28.3,7.63,328,,201804
宜蘭管理處,宜蘭站,四鬮支線下游(制水門),2018/7/9,28.5,7.68,315,,201804
宜蘭管理處,宜蘭站,三鬮圳幹線上游(宜員三泰2-1-6小給),2018/7/9,28.6,7.61,321,,201804
宜蘭管理處,宜蘭站,美福大排中游(宜壯振興A-2-7小排),2018/7/9,28.5,7.72,360,,201804
宜蘭管理處,三星站,叭哩沙圳幹線取水口,2018/7/17,27.4,8.18,547,,201804
宜蘭管理處,三星站,天送埤圳上游(天送埤圳幹線),2018/7/17,26.4,8.25,549,,201804
宜蘭管理處,三星站,破布烏圳幹線取水口,2018/7/17,26.5,8.27,547,,201804
宜蘭管理處,三星站,下湖圳幹線取水口,2018/7/17,27.3,8.22,544,,201804
宜蘭管理處,三星站,瓦窯圳幹線取水口,2018/7/17,27.1,8.18,547,,201804
宜蘭管理處,三星站,柑坑圳幹線取水口,2018/7/17,27.2,8.2,546,,201804
宜蘭管理處,三星站,月眉湖圳幹線取水口,2018/7/17,26.6,8.19,544,,201804
宜蘭管理處,三星站,張公圍圳幹線取水口,2018/7/17,27.5,8.13,542,,201804
宜蘭管理處,三星站,阿里史圳第一幹線取水口,2018/7/17,27.8,8.21,540,,201804
宜蘭管理處,三星站,萬富圳幹線取水口,2018/7/17,28.2,8.09,551,,201804
宜蘭管理處,三星站,阿里史圳第五幹線取水口,2018/7/17,28.3,8.3,544,,201804
宜蘭管理處,三星站,黃鳳鳴圳幹線取水口,2018/7/17,27.5,8.14,544,,201804
宜蘭管理處,三星站,大埔圳幹線取水口,2018/7/17,27.2,8.21,544,,201804
宜蘭管理處,三星站,大洲湧泉圳第一幹線取水口,2018/7/17,29.2,8.45,544,,201804
宜蘭管理處,三星站,大洲圳湧泉第二幹線取水口,2018/7/17,27.4,7.79,637,,201804
宜蘭管理處,三星站,大洲湧泉圳第三幹線取水口,2018/7/17,28.8,8.26,545,,201804
宜蘭管理處,三星站,中湧圳幹線取水口,2018/7/17,27.7,8.12,584,,201804
宜蘭管理處,三星站,金漳成圳幹線取水口,2018/7/17,28.2,8.28,551,,201804
宜蘭管理處,三星站,水車溝圳幹線取水口,2018/7/17,27.8,8.16,552,,201804
宜蘭管理處,三星站,月眉圳幹線中游,2018/7/17,27.6,8.42,558,,201804
宜蘭管理處,三星站,萬富圳幹線下游,2018/7/17,28.2,8.4,542,,201804
宜蘭管理處,三星站,三星排水下游(三星排水安農三大義五主給),2018/7/17,28,8.39,542,,201804
宜蘭管理處,三星站,中溪洲排水中游(中溪州大排三分線),2018/7/17,27.7,8.11,533,,201804
宜蘭管理處,三星站,三星排水中游(第一取水門),2018/7/17,27.6,8.28,544,,201804
宜蘭管理處,三星站,萬富大排中游(第一取水門),2018/7/17,29.3,8.44,548,,201804
宜蘭管理處,三星站,三星排水上游(三星排水二號傾倒式制水門),2018/7/17,29.9,8.45,566,,201804
宜蘭管理處,三星站,月眉圳幹線中游(月眉圳四支二號傾倒式水門),2018/7/17,28.8,7.6,627,,201804
宜蘭管理處,三星站,張公圍排水中游(張公圍排水一號排水門),2018/7/17,27.5,8.24,537,,201804
宜蘭管理處,三星站,黃鳳鳴圳幹線上游(黃鳳鳴圳補給線制水門),2018/7/17,27.4,8.33,535,,201804
宜蘭管理處,三星站,大洲湧泉圳第六幹線下游(大洲湧泉圳第六幹線四分線),2018/7/17,27.9,8.24,545,,201804
宜蘭管理處,三星站,萬富圳幹線上游(萬富圳幹線行健導水路),2018/7/17,28.1,8.17,552,,201804
宜蘭管理處,三星站,水車溝圳幹線下游(安農二尾塹二主給4-4小給),2018/7/17,26.9,8.36,561,,201804
宜蘭管理處,羅東站,歪仔歪圳取水口,2018/7/17,30.4,7.54,292,,201804
宜蘭管理處,羅東站,打那岸圳取水口,2018/7/17,29.1,7.28,310,,201804
宜蘭管理處,羅東站,月眉圳取水口,2018/7/17,29,7.23,280,,201804
宜蘭管理處,羅東站,埔仔圳取水口,2018/7/17,29.1,7.15,199,,201804
宜蘭管理處,羅東站,金長安圳取水口,2018/7/17,27.3,7.08,268,,201804
宜蘭管理處,羅東站,冬螺圳取水口,2018/7/17,28.2,7.22,270,,201804
宜蘭管理處,羅東站,大光明圳取水口,2018/7/17,29.1,7.78,558,,201804
宜蘭管理處,羅東站,埔林圳取水口,2018/7/17,29.3,7.83,598,,201804
宜蘭管理處,羅東站,柯林圳第一幹線取水口,2018/7/17,29.1,7.78,594,,201804
宜蘭管理處,羅東站,柯林圳第二幹線取水口,2018/7/17,29,7.59,484,,201804
宜蘭管理處,羅東站,柯林圳第三幹線取水口,2018/7/17,30,8.04,290,,201804
宜蘭管理處,羅東站,柯湧圳取水口,2018/7/17,29.9,6.98,361,,201804
宜蘭管理處,羅東站,北成圳取水口,2018/7/17,28.5,6.99,281,,201804
宜蘭管理處,羅東站,四人埤圳取水口,2018/7/17,29.8,7.08,297,,201804
宜蘭管理處,羅東站,輕仔腳埤圳取水口,2018/7/17,29.5,7.13,335,,201804
宜蘭管理處,羅東站,雷公埤圳取水口,2018/7/17,29.7,7.21,244,,201804
宜蘭管理處,羅東站,柯林中排(補助水源),2018/7/17,28.7,7.83,563,,201804
宜蘭管理處,羅東站,柯林圳第五幹線取水口,2018/7/17,30.8,7.33,485,,201804
宜蘭管理處,羅東站,大光明圳下游,2018/7/17,29.4,8.11,547,,201804
宜蘭管理處,羅東站,埔林圳下游,2018/7/17,28.5,6.86,538,,201804
宜蘭管理處,羅東站,冬螺圳第二幹線取水口,2018/7/17,28.8,7.2,159,,201804
宜蘭管理處,羅東站,金長安二幹取水口,2018/7/17,28.6,7.46,148,,201804
宜蘭管理處,羅東站,冬螺湧泉圳取水口,2018/7/17,29.1,7.34,148,,201804
宜蘭管理處,羅東站,金長安二幹中興金2M主給取水口,2018/7/17,29.5,7.3,155,,201804
宜蘭管理處,羅東站,十六份圳幹線下游,2018/7/17,28.1,7.18,142,,201804
宜蘭管理處,五結站,四結支線下游,2018/7/12,30.2,7.91,456,,201804
宜蘭管理處,五結站,五股圳下游,2018/7/12,31.6,7.19,355,,201804
宜蘭管理處,五結站,五結支線下游,2018/7/12,28.7,7.75,435,,201804
宜蘭管理處,五結站,二結支線下游,2018/7/12,28.1,7.57,552,,201804
宜蘭管理處,五結站,萬長春圳取水口,2018/7/17,29.9,7.8,487,,201804
宜蘭管理處,五結站,林和源圳取水口,2018/7/17,29.5,7.65,345,,201804
宜蘭管理處,五結站,茅仔寮二號抽水機,2018/7/12,28.3,7.48,593,,201804
宜蘭管理處,五結站,大吉二號抽水機,2018/7/12,27.3,7.72,509,,201804
宜蘭管理處,五結站,五股三號抽水機,2018/7/13,29.8,7.68,747,,201804
宜蘭管理處,五結站,龍德八號抽水機取水口,2018/7/17,28.5,7.26,306,,201804
宜蘭管理處,五結站,四結支線B5分線,2018/7/12,30,7.93,485,,201804
宜蘭管理處,五結站,二結支線第一分線上游,2018/7/12,28.3,7.53,563,,201804
宜蘭管理處,五結站,協和十一之一主給,2018/7/12,31.3,7.71,451,,201804
宜蘭管理處,五結站,五結支線一分線,2018/7/12,31.3,7.51,265,,201804
宜蘭管理處,五結站,五結支線三分線,2018/7/12,31.2,8.9,274,,201804
宜蘭管理處,冬山站,陳進財圳取水口,2018/7/13,30.4,7.05,229,,201804
宜蘭管理處,冬山站,公埔圳取水口,2018/7/13,29.8,6.97,213,,201804
宜蘭管理處,冬山站,珍珠第一抽水機抽水口,2018/7/13,29.6,6.99,148,,201804
宜蘭管理處,冬山站,八仙圳取水口,2018/7/13,29.7,7,294,,201804
宜蘭管理處,冬山站,砂仔港圳取水口,2018/7/13,29.6,6.98,282,,201804
宜蘭管理處,冬山站,武淵圳取水口,2018/7/13,29.7,6.99,324,,201804
宜蘭管理處,冬山站,朱九圳取水口,2018/7/13,29.7,6.98,365,,201804
宜蘭管理處,冬山站,莊錦發圳取水口,2018/7/13,29.3,6.99,343,,201804
宜蘭管理處,冬山站,張火盛圳取水口,2018/7/13,29.3,6.97,275,,201804
宜蘭管理處,冬山站,八寶圳取水口,2018/7/13,29.5,7.64,289,,201804
宜蘭管理處,冬山站,順安圳取水口,2018/7/13,29.7,6.98,284,,201804
宜蘭管理處,冬山站,珍珠第二抽水機抽水口,2018/7/13,29.7,6.98,286,,201804
宜蘭管理處,冬山站,梅花排水(補助水源),2018/7/13,29.7,6.99,567,,201804
宜蘭管理處,冬山站,十三份圳取水口,2018/7/13,29.7,6.97,141,,201804
宜蘭管理處,冬山站,八寶湧泉圳第一幹線取水口,2018/7/13,29.6,6.98,280,,201804
宜蘭管理處,冬山站,八寶湧泉圳第二幹線取水口,2018/7/13,29.7,6.99,307,,201804
宜蘭管理處,冬山站,十六份圳二號抽水機取水口,2018/7/13,29.4,7,303,,201804
宜蘭管理處,冬山站,南富一號抽水機取水口,2018/7/13,29.6,6.97,244,,201804
宜蘭管理處,冬山站,林寶春圳南富七主給取水口,2018/7/13,29.3,6.99,214,,201804
宜蘭管理處,冬山站,冬山圳幹線取水口,2018/7/13,29.7,7.04,218,,201804
宜蘭管理處,冬山站,八寶圳下游,2018/7/13,30.1,6.98,276,,201804
宜蘭管理處,冬山站,林寶春支線6主給取水口,2018/7/13,29.4,7.01,255,,201804
宜蘭管理處,冬山站,南富一中排取水口,2018/7/13,30.1,7,261,,201804
宜蘭管理處,冬山站,林吉記支線二分線取水口,2018/7/13,30.2,7.01,224,,201804
宜蘭管理處,冬山站,林寶春第一、二支取水口,2018/7/13,30.3,6.99,428,,201804
宜蘭管理處,冬山站,南富八主給取水口,2018/7/13,29.5,6.99,261,,201804
宜蘭管理處,冬山站,北富一主給取水口,2018/7/13,30.4,6.96,289,,201804
宜蘭管理處,冬山站,順安圳幹線(太員順安區二主給),2018/7/13,29.2,6.98,298,,201804
宜蘭管理處,冬山站,南富3號抽水機取水口,2018/7/13,29.2,6.99,360,,201804
宜蘭管理處,冬山站,龍德5號抽水機取水口,2018/7/13,29.9,7.03,225,,201804
宜蘭管理處,冬山站,龍德7號抽水機取水口,2018/7/13,30.2,7.01,357,,201804
宜蘭管理處,冬山站,奇武荖抽水機取水口,2018/7/13,29.9,6.99,316,,201804
宜蘭管理處,蘇澳站,金豐萬圳取水口,2018/7/12,31.3,8.41,217,,201804
宜蘭管理處,蘇澳站,金豐萬圳幹線一支線下游,2018/7/12,31,8.18,226,,201804
宜蘭管理處,蘇澳站,糞箕湖圳幹線隘丁支線上游,2018/7/12,31.4,8.22,209,,201804
宜蘭管理處,蘇澳站,糞箕湖圳幹線隘丁支線下游,2018/7/12,31,7.37,316,,201804
宜蘭管理處,蘇澳站,龍德二號抽水機抽水口,2018/7/12,30.8,6.9,423,,201804
宜蘭管理處,蘇澳站,龍德四號抽水機抽水口,2018/7/12,30.5,7,651,,201804
宜蘭管理處,蘇澳站,大南澳圳第一幹線取水口,2018/7/12,27.7,7.88,293,,201804
宜蘭管理處,蘇澳站,大南澳圳第二幹線取水口,2018/7/12,27.9,8.02,293,,201804
宜蘭管理處,蘇澳站,大南澳圳第三幹線取水口,2018/7/12,28.1,7.72,303,,201804
宜蘭管理處,蘇澳站,隆恩圳取水口,2018/7/12,30.4,7.67,686,,201804
宜蘭管理處,蘇澳站,隆恩排水中游(隆恩排水制水門),2018/7/12,31.1,7.16,417,,201804
宜蘭管理處,蘇澳站,馬賽中排上游(馬賽中排制水門),2018/7/12,30.7,7.28,311,,201804
宜蘭管理處,蘇澳站,馬賽排水中游(馬賽大排制水門),2018/7/12,30.5,7.62,248,,201804
宜蘭管理處,蘇澳站,馬賽排水上游(新馬4-5小排),2018/7/12,30.3,7.27,240,,201804
宜蘭管理處,蘇澳站,金豐萬圳下游(金豐萬圳幹線新馬六主給),2018/7/12,30.7,7.83,250,,201804
宜蘭管理處,蘇澳站,港口排水上游(下埤排水制水門),2018/7/12,31.5,6.68,333,,201804
宜蘭管理處,頭城站,大坑罟抽水機抽水口,2018/9/14,26,7.61,406,,201805
宜蘭管理處,頭城站,溪仔底幹線取水口,2018/9/14,27.1,7.28,510,,201805
宜蘭管理處,頭城站,新興湧泉幹線引水口,2018/9/14,24.6,7.57,201,,201805
宜蘭管理處,頭城站,福德坑圳幹線取水口,2018/9/14,24.1,7.36,157,,201805
宜蘭管理處,頭城站,金面圳金面第一幹線取水口,2018/9/14,24.7,7.6,135,,201805
宜蘭管理處,頭城站,北門坑圳幹線取水口,2018/9/14,24.6,7.34,98,,201805
宜蘭管理處,頭城站,抵美簡圳幹線取水口,2018/9/14,25.8,7.56,345,,201805
宜蘭管理處,頭城站,猴洞坑圳幹線取水口,2018/9/14,25.2,7.67,108,,201805
宜蘭管理處,頭城站,白石腳湧泉第二幹線取水口,2018/9/14,26.4,7.42,204,,201805
宜蘭管理處,頭城站,白石腳湧泉第一幹線取水口,2018/9/14,27.6,7.31,267,,201805
宜蘭管理處,頭城站,玉泉圳第一幹線取水口,2018/9/14,27,7.58,527,,201805
宜蘭管理處,頭城站,玉泉圳第二幹線取水口,2018/9/14,26.9,7.49,387,,201805
宜蘭管理處,頭城站,湯圍湧泉幹線取水口,2018/9/14,28.2,7.62,580,,201805
宜蘭管理處,頭城站,六結圳幹線礁溪六結一主給取水口,2018/9/14,27.1,7.49,313,,201805
宜蘭管理處,頭城站,淇武蘭圳幹線取水口,2018/9/14,27.6,7.38,338,,201805
宜蘭管理處,頭城站,五股圳幹線礁溪1-17小給取水口,2018/9/14,26.9,7.17,426,,201805
宜蘭管理處,頭城站,玉泉圳第二幹線礁溪白雲二主給取水口,2018/9/14,27,7.53,211,,201805
宜蘭管理處,頭城站,湯圍湧泉幹線三支線取水口,2018/9/14,28.4,7.41,572,,201805
宜蘭管理處,頭城站,湯圍湧泉幹線四支線湯圍1-2小給取水口,2018/9/14,28.6,7.28,339,,201805
宜蘭管理處,頭城站,金面圳金面第二幹線二主給2小給取水口,2018/9/14,26.3,7.48,254,,201805
宜蘭管理處,頭城站,金面第四湧泉圳取水口,2018/9/14,25.7,7.24,208,,201805
宜蘭管理處,礁溪站,辛永安圳取水口,2018/9/13,27.3,7.11,204,,201805
宜蘭管理處,礁溪站,黃德記圳取水口,2018/9/13,29.5,6.97,235,,201805
宜蘭管理處,礁溪站,林源春圳取水口,2018/9/13,29.1,6.98,236,,201805
宜蘭管理處,礁溪站,茅埔圳取水口,2018/9/13,30.6,7.13,218,,201805
宜蘭管理處,礁溪站,大坡圳(龍潭湖)取水口,2018/9/13,28.8,7.2,135,,201805
宜蘭管理處,礁溪站,四結佃圳上游,2018/9/13,27.5,7.09,201,,201805
宜蘭管理處,礁溪站,四結佃圳下游,2018/9/13,27.7,7.12,203,,201805
宜蘭管理處,礁溪站,金長源圳上游,2018/9/13,27,7.36,135,,201805
宜蘭管理處,礁溪站,金長源圳下游,2018/9/13,27.1,7.27,132,,201805
宜蘭管理處,礁溪站,金慶安圳取水口,2018/9/13,29.6,6.89,220,,201805
宜蘭管理處,礁溪站,七結湧泉圳上游,2018/9/13,30.9,7,248,,201805
宜蘭管理處,礁溪站,柴圍佃圳取水口,2018/9/13,29.9,7.03,221,,201805
宜蘭管理處,礁溪站,民生圳取水口,2018/9/13,29,6.98,182,,201805
宜蘭管理處,礁溪站,三民四中排(補助水源),2018/9/13,29.6,7.01,191,,201805
宜蘭管理處,礁溪站,李寶興排水,2018/9/13,28.4,7.2,181,,201805
宜蘭管理處,礁溪站,充公支線塭底分線上游,2018/9/13,26,7.28,248,,201805
宜蘭管理處,礁溪站,七結抽水機取水口,2018/9/13,31,7.12,294,,201805
宜蘭管理處,礁溪站,朝陽4號抽水機取水口,2018/9/13,26.6,7.28,279,,201805
宜蘭管理處,礁溪站,玉田1號抽水機取水口,2018/9/13,26.5,7.21,275,,201805
宜蘭管理處,礁溪站,玉田2號抽水機取水口,2018/9/13,26.1,7.32,277,,201805
宜蘭管理處,礁溪站,辛永安圳上游(二結排水一結革新二中排茭白9小排),2018/9/13,28.5,6.97,217,,201805
宜蘭管理處,礁溪站,茅埔抽水機取水口,2018/9/13,26.2,7.26,270,,201805
